,comment
0,Is that chris Pratt on the drums
1,"holy s... i saw this song in a short list of best bass parts, and does this deliver!!!"
2,I wish my life was half as consistant as Joe Dart's 16th F# notes 😅
3,Awesome bass line nice cruisy song
4,0:35 did anyone else noticed the cat
5,"Thunder Thumbs from The Brothers Johnson, would've been proud."
6,un año mas tarde sigue estando manso
7,lamp guy fighting for his life
8,"Haha, the hair of Cory Wong! Sorry, couldnt resist."
9,"This song is a certified, funkified, hall of fame inductified classic."
